Iteration,Avg insertion times,Avg search times,insert_collisions,search_collisions
282,0.2696,0.11599,1044,149
283,0.22502,0.09652,721,76
284,0.28415,0.11192,973,133
285,0.25633,0.12767,962,202
286,0.26315,0.10539,997,129
287,0.27832,0.10761,929,114
288,0.24559,0.11071,849,123
289,0.26678,0.11596,895,151
290,0.22942,0.09195,777,73
291,0.24904,0.11584,914,192
292,0.25945,0.14058,825,258
293,0.24531,0.08457,858,84
294,0.27902,0.08682,956,77
295,0.25834,0.08701,975,63
296,0.24635,0.10222,884,160
297,0.25182,0.08552,771,121
298,0.2518,0.08855,942,68
299,0.25757,0.09663,848,114
300,0.23566,0.09689,815,158
301,0.23726,0.08488,821,63
302,0.28605,0.10291,1005,153
303,0.24243,0.12044,866,203
304,0.25738,0.11207,789,216
305,0.26771,0.13523,1057,301
306,0.27448,0.12243,1092,236
307,0.26197,0.10121,824,146
308,0.21975,0.09973,702,159
309,0.20807,0.09034,632,109
310,0.27441,0.09005,925,71
311,0.2412,0.11278,861,214
312,0.26978,0.12144,892,261
313,0.2528,0.10668,930,188
314,0.23527,0.0882,799,123
315,0.23276,0.10493,634,138
316,0.1992,0.08564,559,97
317,0.25397,0.09633,776,161
318,0.23986,0.08172,850,113
319,0.25295,0.08918,937,96
320,0.25149,0.10397,783,195
321,0.27116,0.09849,1041,165
322,0.26401,0.08085,842,88
323,0.23234,0.10716,804,187
324,0.24449,0.09014,881,95
325,0.28522,0.09376,1045,177
326,0.22916,0.10941,770,200
327,0.28102,0.10551,965,194
328,0.25251,0.09479,925,178
329,0.22779,0.10057,754,161
330,0.28588,0.08921,986,144
331,0.22443,0.09271,707,133
332,0.23682,0.08237,806,114
333,0.26701,0.1122,883,212
334,0.30058,0.09954,1288,193
335,0.26845,0.10402,900,172
336,0.25155,0.11613,942,254
337,0.25234,0.07683,914,77
338,0.29471,0.09729,1089,160
339,0.23128,0.11731,766,312
340,0.31236,0.09223,1160,147
341,0.24777,0.10624,896,218
342,0.24758,0.07809,857,93
343,0.26867,0.08232,867,95
344,0.2588,0.10767,945,243
345,0.29163,0.12633,1027,305
346,0.22117,0.10818,709,236
347,0.25107,0.0873,908,124
348,0.26441,0.09166,804,152
349,0.22072,0.09224,705,172
350,0.25318,0.1144,915,261
351,0.27849,0.11495,926,239
352,0.23009,0.1387,758,341
353,0.2562,0.11803,743,241
354,0.26319,0.10356,981,242
355,0.24113,0.1102,840,212
356,0.30586,0.10354,1103,211
357,0.22329,0.10017,688,192
358,0.25643,0.10925,768,225
359,0.23679,0.12028,773,327
360,0.22183,0.09322,667,138
361,0.25863,0.10322,778,219
362,0.22951,0.11558,730,255
363,0.24913,0.12828,707,353
364,0.25149,0.11854,896,278
365,0.24784,0.10356,860,225
366,0.23774,0.09931,641,164
367,0.22591,0.0912,722,173
368,0.25485,0.11838,751,277
369,0.22494,0.11049,693,236
370,0.23287,0.07449,766,71
371,0.24418,0.09077,701,153
372,0.25115,0.09721,896,214
373,0.23811,0.10806,801,252
374,0.27968,0.10276,953,171
375,0.23494,0.1009,796,226
