Iteration,Avg insertion times,Avg search times
368,0.43359,0.26017,
369,0.41715,0.26925,
370,0.4469,0.2629,
371,0.40216,0.26008,
372,0.42792,0.2682,
373,0.41172,0.26578,
374,0.44417,0.26812,
375,0.42191,0.26341,
376,0.40013,0.28806,
377,0.39068,0.25865,
378,0.44807,0.26199,
379,0.39717,0.26688,
380,0.44525,0.28113,
381,0.38901,0.2607,
382,0.42163,0.27928,
383,0.40271,0.26096,
384,0.42768,0.26718,
385,0.40439,0.25712,
386,0.4118,0.25742,
387,0.40132,0.3737,
388,0.91268,0.30424,
389,0.4646,0.29612,
390,0.61555,0.59373,
391,1.20857,0.49946,
392,0.73076,0.58317,
393,0.66143,0.40533,
394,0.5638,0.35012,
395,0.51319,0.32715,
396,0.50829,0.33863,
397,0.49462,0.3303,
398,0.4682,0.33433,
399,0.50498,0.32985,
